order_id,order_date,customer_id,customer_name,city,category,product,quantity,unit_price,discount_pct,payment_method,sales_channel,status
O0001,2026-02-05,C011,Vikas Tiwari,Ujjain, ELECTRONICS ,Wireless Mouse,6,,0,cash,online,completed
O0002,04-25-2026,C004,Neha Singh ,Jabalpur,Electronics,Headphones,1,1400,15,cod,offline,completed
O0003,06-04-2026,C006,Sneha Gupta,Bhopal,electronics,Wireless Mouse,1,700,20,upi, Offline, Pending
O0004,02-28-2026,C005,rohit patel,Ujjain,Grocery,Cooking Oil,1,160,0,upi,Online,cancelled
O0005,12/06/2026,C003,AMIT KHAN,Rewa,Grocery,Rice Bag,5,950,5,cash,Online,Cancelled
O0006,22-Mar-2026,C012,Meena Joshi,Bhopal,home,Lamp,3,750,5,UPI,online,Completed
O0007,05/02/2026,C004,Neha Singh ,Jabalpur, CLOTHING ,Jeans,6,1700,20,COD,online, Pending
O0008,2026-01-13,C007,Arjun Mehta,Indore,Grocery,Tea Pack,2,280,15,cod,offline,Completed
O0009,06-14-2026,C008,Pooja Yadav,Rewa,Grocery,Cooking Oil,1,,15,upi,ONLINE, Pending
O0010,18/03/2026,C012,Meena Joshi,Bhopal,Grocery,Cooking Oil,2,160,5,cod,Online,cancelled
O0011,2026-03-03,C001,Rahul Sharma,Bhopal,Grocery,Rice Bag,2,1050,0,upi, Offline, Pending
O0012,09-Mar-2026,C009,Karan Jain,Satna, HOME ,Water Bottle,2,550,5,COD,ONLINE,completed
O0013,01-17-2026,C006,Sneha Gupta,Bhopal,clothing,Kurta,1,1200,20,upi,online,completed
O0014,12/05/2026,C011,Vikas Tiwari,Ujjain,Electronics,Wireless Mouse,3,700,5,UPI, Offline,Completed
O0015,25-Jan-2026,C010,  Anjali Rao  ,Jabalpur,clothing,T-Shirt,3,750,15,card,online,Completed
O0016,19/02/2026,C011,Vikas Tiwari,Ujjain,electronics,Wireless Mouse,5,700,5,Card,Online,completed
O0017,24/01/2026,C002,  Priya Verma,Indore,Clothing,Kurta,2,1150,15,UPI,ONLINE,Completed
O0018,19-Apr-2026,C003,AMIT KHAN,Rewa,clothing,T-Shirt,2,,10,cash,offline, Pending
O0019,2026-02-10,C001,Rahul Sharma,Bhopal,Grocery,Tea Pack,,,5,COD,ONLINE,Cancelled
O0020,04-18-2026,C007,Arjun Mehta,Indore,Electronics,Headphones,3,1400,10,UPI,ONLINE,Completed
O0021,2026-05-25,C005,rohit patel,Ujjain,Clothing,Jeans,1,1700,5,UPI,offline,Cancelled
O0022,06-30-2026,C002,  Priya Verma,Indore,home,Bedsheet,5,1300,0, UPI ,offline,Cancelled
O0023,03-11-2026,C002,  Priya Verma,Indore,Home,Bedsheet,5,1200,10,upi,ONLINE,completed
O0024,01-01-2026,C008,Pooja Yadav,Rewa,Grocery,Tea Pack,2,280,5,card, Offline,Completed
O0025,05/04/2026,C001,Rahul Sharma,Bhopal, ELECTRONICS ,Wireless Mouse,4,650,0, UPI ,ONLINE,Completed
O0026,24-May-2026,C001,Rahul Sharma,Bhopal, GROCERY ,Tea Pack,5,280,5,Cash,Online, Pending
